Должность,Компания,Доход,Адрес,Ссылка 
['Тайный покупатель', 'ООО Северная Компания', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73374805?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец (Рязань)', 'ИП Винокурова Александра Олеговна', 'до 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72870677?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант (Рязань)', 'ООО ПКФ Таврос', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/69646364?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кредитный специалист (г. Рязань)', 'Деньга', 'от 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72158474?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по логистике (Рязань)', 'ИТЕКО', '40 000 – 90 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72004663?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор в контакт-центр (г.Рязань)', 'Медицинская кадровая служба УНИКУМ', 'до 35 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72862048?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант', 'Связной. Магазин', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/72945664?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по работе с клиентами', 'АО Компания ТрансТелеКом', 'от 25 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73316174?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Клиентский менеджер прямых продаж', 'Сбер. Начало карьеры', 'от 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71292814?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец фруктов и овощей', 'Перекресток', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73027780?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по заказу и приемке товара', 'Перекресток', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/72074686?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор автоматических линий 3 разряда', 'WILDBERRIES', 'от 45 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72930955?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Комплектовщик на склад', 'МАГНИТ', '54 000 – 88 500 руб.', 'Самара', 'https://ryazan.hh.ru/vacancy/68212417?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Старший кассир', 'Перекресток', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/72074194?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант', 'Перекресток', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/72073737?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Сборщик заказов', 'Ozon Производство', 'от 42 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72405510?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Работник склада', 'МАГНИТ', '54 000 – 88 500 руб.', 'Тольятти', 'https://ryazan.hh.ru/vacancy/69436301?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
